command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.LumenScene.SurfaceCache.AtlasSize,CVar,int32,4096,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.SurfaceCache.AtlasSize=<值>` / `r.LumenScene.SurfaceCache.AtlasSize <值>` 或 INI 中配置,Surface cache card atlas size.,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.SurfaceCache.CardMaxResolution,CVar,string,,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.SurfaceCache.CardMaxResolution=<值>` / `r.LumenScene.SurfaceCache.CardMaxResolution <值>` 或 INI 中配置,Maximum card resolution in Lumen Scene,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.SurfaceCache.CardMinResolution,CVar,int,4,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.SurfaceCache.CardMinResolution=<值>` / `r.LumenScene.SurfaceCache.CardMinResolution <值>` 或 INI 中配置,Minimum mesh card size resolution to be visible in Lumen Scene,ECVF_Scalability | ECVF_RenderThreadSafe
r.LumenScene.SurfaceCache.CardTexelDensityScale,CVar,float,100.0f,r,Lumen,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.LumenScene.SurfaceCache.CardTexelDensityScale=<值>` / `r.LumenScene.SurfaceCache.CardTexelDensityScale <值>` 或 INI 中配置,Lumen card texels per world space distance,ECVF_Scalability | ECVF_RenderThreadSafe
r.LUT.Shaper,CVar,int32,0,r,通用,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.LUT.Shaper=<值>` / `r.LUT.Shaper <值>` 或 INI 中配置,Which shaper to use for addressing the LUT\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.LUT.Size,CVar,int32,32,r,通用,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.LUT.Size=<值>` / `r.LUT.Size <值>` 或 INI 中配置,Size of film LUT,ECVF_RenderThreadSafe | ECVF_Scalability
r.MaterialQualityLevel,CVar,int32,1,r,材质,All,true,false,false,true,true,EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine,`r.MaterialQualityLevel=<值>` / `r.MaterialQualityLevel <值>` 或 INI 中配置,"0 corresponds to low quality materials, as defined by quality switches in materials, 1 corresponds to high, 2 for medium, and 3 for Epic.",ECVF_Scalability | ECVF_RenderThreadSafe
r.MaxAnisotropy,CVar,int32,4,r,通用,All,true,false,false,true,true,TextureQuality@0;TextureQuality@1;TextureQuality@2;TextureQuality@3;TextureQuality@Cine,`r.MaxAnisotropy=<值>` / `r.MaxAnisotropy <值>` 或 INI 中配置,MaxAnisotropy should range from 1 to 16. Higher values mean better texure quality when using anisotropic filtering but at a cost to performance. Default is 4.,ECVF_Scalability | ECVF_RenderThreadSafe
r.MegaLights.DownsampleMode,CVar,int32,2,r,通用,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.MegaLights.DownsampleMode=<值>` / `r.MegaLights.DownsampleMode <值>` 或 INI 中配置,"Downsample mode from the main viewport to sample and trace rays. Increases performance, but reduces quality.\n",ECVF_Scalability | ECVF_RenderThreadSafe
r.MegaLights.FrontLayerTranslucency.Allow,CVar,bool,false,r,光线追踪,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.MegaLights.FrontLayerTranslucency.Allow=<值>` / `r.MegaLights.FrontLayerTranslucency.Allow <值>` 或 INI 中配置,Whether the current scalability level allows a dedicated MegaLights pass on the frontmost layer of Translucent Surfaces.  Other layers will use the lower quality Translucency Lighting Volume.,ECVF_Scalability | ECVF_RenderThreadSafe
